condition,correction_success_rate,repeated_error_rate,memory_recall_accuracy,contradiction_rate,persona_consistency_score,tone_consistency_score,long_term_coherence_score,mean_latency_ms,p95_latency_ms,mean_input_tokens,mean_output_tokens,n_turns
C0,0.0,0.5642857142857143,0.0,0.5642857142857143,2.0,4.0,3.0,526.8214285714286,651.0,104.52571428571429,52.24142857142857,700
C1,0.0,0.5671428571428572,0.0,0.5671428571428572,2.0,4.0,3.0,532.2914285714286,655.0,104.52571428571429,52.488571428571426,700
C2,0.5428571428571428,0.1757142857142857,0.5428571428571428,0.1757142857142857,3.6285714285714286,4.0,4.085714285714285,540.8514285714285,660.0,186.96428571428572,50.73285714285714,700
C3,0.5771428571428572,0.13285714285714287,0.5771428571428572,0.13285714285714287,3.7314285714285713,4.0,4.154285714285714,546.2585714285714,662.0,213.87142857142857,50.53142857142857,700
C4,0.5514285714285714,0.18142857142857144,0.5514285714285714,0.18142857142857144,3.6542857142857144,4.0,4.102857142857143,530.3914285714286,656.0,136.80285714285714,50.57142857142857,700
