condition,n_turns,n_seeds,n_models,correction_success_rate,repeated_error_rate,memory_recall_accuracy,latency_ms_mean
C0,2100,3,2,0.0,0.8028571428571428,0.0,946.8880952380953
C1,2100,3,2,0.0,0.8128571428571428,0.0,944.8266666666667
C2,2100,3,2,0.8757142857142857,0.10857142857142857,0.8757142857142857,917.7990476190477
C3,2100,3,2,0.8771428571428571,0.11,0.8771428571428571,933.9785714285714
C4,2100,3,2,0.8414285714285714,0.12428571428571429,0.8414285714285714,921.5652380952381
