condition,n_seeds,correction_success_mean,correction_success_sd,repeated_error_mean,repeated_error_sd,memory_recall_mean,memory_recall_sd
C0,3,0.0,0.0,0.8028571428571428,0.0,0.0,0.0
C1,3,0.0,0.0,0.8128571428571428,0.0,0.0,0.0
C2,3,0.8757142857142858,0.0,0.10857142857142858,0.0,0.8757142857142858,0.0
C3,3,0.8771428571428571,0.0,0.11,0.0,0.8771428571428571,0.0
C4,3,0.8414285714285713,0.0,0.12428571428571429,0.0,0.8414285714285713,0.0
