condition,correction_success_rate,repeated_error_rate,memory_recall_accuracy,contradiction_rate,persona_consistency_score,tone_consistency_score,long_term_coherence_score,mean_latency_ms,p95_latency_ms,mean_input_tokens,mean_output_tokens,n_turns
C0,0.002857142857142857,0.820952380952381,0.0,0.820952380952381,2.0085714285714285,4.0,3.005714285714286,625.2219047619047,958.2499999999993,142.46,35.597142857142856,1050
C1,0.0,0.8276190476190476,0.0,0.8276190476190476,2.0,4.0,3.0,625.3219047619048,967.0,142.46,35.71142857142857,1050
C2,0.819047619047619,0.14666666666666667,0.819047619047619,0.14666666666666667,4.457142857142857,4.0,4.6380952380952385,553.7857142857143,763.4499999999991,193.28190476190477,31.069523809523808,1050
C3,0.8523809523809524,0.12095238095238095,0.8523809523809524,0.12095238095238095,4.557142857142857,4.0,4.704761904761905,557.1476190476191,762.0499999999995,241.15714285714284,31.227619047619047,1050
C4,0.8257142857142857,0.12761904761904763,0.8257142857142857,0.12761904761904763,4.477142857142857,4.0,4.651428571428571,560.1047619047619,865.55,174.43714285714285,31.66857142857143,1050
