dataset,metric,comparison,n_pairs,mean_a,mean_b,absolute_difference,relative_reduction_if_repeated_error,bootstrap_ci95_low,bootstrap_ci95_high,mcnemar_b01_a0_b1,mcnemar_b10_a1_b0,mcnemar_discordant,mcnemar_exact_p,paired_permutation_p,planned_comparison,holm_mcnemar_p,significant_holm_0_05
main_qwen7b14b,factual_correct,C2_minus_C1,700,0.8757142857142857,0.0,0.8757142857142857,,0.85,0.9,0,613,613,5.883593420661338e-185,4.999750012499375e-05,True,1.7650780261984015e-184,True
main_qwen7b14b,factual_correct,C3_minus_C1,700,0.8771428571428571,0.0,0.8771428571428571,,0.8528571428571429,0.9,0,614,614,2.941796710330669e-185,4.999750012499375e-05,True,1.1767186841322676e-184,True
main_qwen7b14b,repeated_error,C2_minus_C1,700,0.10857142857142857,0.8128571428571428,-0.7042857142857143,0.866432337434095,-0.7385714285714285,-0.6685714285714286,501,8,509,1.2821465282086601e-136,4.999750012499375e-05,True,2.5642930564173202e-136,True
main_qwen7b14b,repeated_error,C3_minus_C1,700,0.11,0.8128571428571428,-0.7028571428571428,0.8646748681898067,-0.74,-0.6657142857142857,504,12,516,6.244069309521556e-132,4.999750012499375e-05,True,6.244069309521556e-132,True
cross_arch,factual_correct,C2_minus_C1,1050,0.819047619047619,0.0,0.819047619047619,,0.7961904761904762,0.8419047619047619,0,860,860,2.6015592699123717e-259,4.999750012499375e-05,True,1.8210914889386602e-258,True
cross_arch,factual_correct,C3_minus_C1,1050,0.8523809523809524,0.0,0.8523809523809524,,0.8304761904761905,0.8733333333333333,0,895,895,7.571533991467358e-270,4.999750012499375e-05,True,6.057227193173887e-269,True
cross_arch,repeated_error,C2_minus_C1,1050,0.14666666666666667,0.8276190476190476,-0.680952380952381,0.8227848101265823,-0.7114285714285714,-0.6495238095238095,738,23,761,8.799107819458422e-186,4.999750012499375e-05,True,4.399553909729211e-185,True
cross_arch,repeated_error,C3_minus_C1,1050,0.12095238095238095,0.8276190476190476,-0.7066666666666667,0.85385500575374,-0.7361904761904762,-0.6761904761904762,764,22,786,1.6742549982289954e-194,4.999750012499375e-05,True,1.0045529989373972e-193,True
